Bowler Type,Ball Length,Ball Line,Speed (km/h),Shot Type,Runs Scored,Wicket,Field Placement,Angle,Bounce (cm),Field Positions
Fast,Good,Off-stump,143,Straight Drive,1,0,Defensive,12.186259403563202,59,Mid-wicket
Fast,Full,Middle,124,Edge,0,1,Aggressive,-8.558394085430265,110,Mid-wicket
Fast,Short,Off-stump,130,Hook,0,0,Aggressive,3.6266831671129225,113,Square Leg
Fast,Short,Off-stump,144,Edge,0,0,Balanced,-0.30330240628107674,49,Square Leg
Spin,Good,Off-stump,146,Edge,0,0,Aggressive,14.080986613663924,28,Cover
Spin,Full,Off-stump,146,Cut,0,0,Defensive,3.807265345788352,92,Long-off
Fast,Full,Middle,119,Edge,3,0,Defensive,-8.102193889685552,29,Square Leg
Fast,Short,Off-stump,128,Cover Drive,4,0,Balanced,11.43240693125351,46,Fine Leg
Fast,Good,Middle,124,Edge,6,0,Defensive,13.170434556669164,69,Slips
Fast,Short,Off-stump,112,Sweep,1,0,Balanced,1.641560174299027,84,Fine Leg
Fast,Short,Leg-stump,118,Sweep,2,0,Aggressive,0.831867375977847,66,Point
Spin,Good,Middle,114,Cover Drive,6,0,Balanced,10.659283528893898,89,Long-on
Fast,Good,Leg-stump,119,Cut,0,0,Aggressive,2.158877988681155,65,Cover
Fast,Short,Off-stump,148,Straight Drive,2,0,Balanced,-12.285870490151616,81,Slips
Fast,Good,Leg-stump,113,Cover Drive,4,0,Balanced,4.224392721496457,83,Long-off
Spin,Good,Leg-stump,111,Cut,1,0,Aggressive,-4.25758782195264,78,Point
Fast,Good,Middle,135,Edge,2,0,Defensive,0.4729111424526078,35,Slips
Fast,Short,Off-stump,112,Edge,1,0,Defensive,-6.188948766297187,25,Fine Leg
Spin,Good,Off-stump,126,Flick,0,0,Defensive,-12.99358611318469,60,Long-off
Fast,Good,Leg-stump,141,Pull,0,0,Aggressive,13.956671564646275,19,Mid-wicket
Spin,Short,Off-stump,122,Cut,1,0,Balanced,7.248925640807336,117,Long-off
Fast,Short,Off-stump,130,Cut,4,0,Aggressive,6.227591870930674,77,Fine Leg
Fast,Short,Leg-stump,135,Defensive,2,0,Defensive,8.18446108548519,66,Square Leg
Fast,Good,Middle,128,Cover Drive,4,0,Aggressive,-7.240439680804234,117,Mid-wicket
Spin,Good,Off-stump,127,Defensive,1,0,Defensive,-8.12167331667499,62,Mid-wicket
Fast,Good,Middle,120,Hook,0,0,Defensive,-3.859784950833088,28,Long-off
Spin,Full,Leg-stump,142,Defensive,2,0,Aggressive,-7.029431801866451,97,Fine Leg
Fast,Full,Middle,119,Hook,0,0,Defensive,-8.344053128027834,105,Point
Spin,Short,Off-stump,146,Sweep,3,0,Aggressive,-5.713897234802403,46,Mid-wicket
Spin,Good,Leg-stump,121,Pull,4,0,Aggressive,-10.600118839180292,24,Long-off
Spin,Full,Off-stump,147,Cover Drive,4,0,Aggressive,-1.4971414695817202,29,Square Leg
Fast,Full,Middle,135,Edge,0,0,Aggressive,12.182215110358765,66,Fine Leg
Spin,Short,Middle,119,Sweep,0,0,Aggressive,-7.728751242728253,62,Fine Leg
Spin,Full,Middle,120,Cover Drive,4,0,Balanced,-8.192566811863122,88,Long-off
Fast,Short,Middle,135,Flick,0,0,Balanced,7.797225373676934,57,Mid-wicket
Spin,Good,Leg-stump,117,Straight Drive,2,0,Defensive,13.209143131351627,24,Square Leg
Spin,Good,Leg-stump,126,Sweep,0,1,Defensive,-11.170509003422257,65,Long-on
Spin,Short,Off-stump,142,Sweep,4,0,Aggressive,-7.230741929882903,76,Slips
Spin,Full,Middle,129,Pull,0,0,Defensive,12.83677117515408,83,Slips
Fast,Full,Off-stump,133,Pull,0,0,Defensive,13.673610628455478,70,Point
Spin,Short,Off-stump,117,Defensive,0,0,Aggressive,-5.241371920532597,114,Mid-wicket
Spin,Good,Middle,138,Straight Drive,0,0,Balanced,-9.981106935419977,98,Square Leg
Fast,Short,Leg-stump,139,Flick,0,0,Defensive,-1.1909075730592118,60,Long-on
Fast,Good,Leg-stump,112,Pull,4,0,Defensive,1.5263449158424578,115,Cover
Fast,Short,Off-stump,144,Sweep,3,1,Defensive,-2.967474477275495,88,Mid-wicket
